STATION_NAME_RAW,STATION_NAME,NAME_CHANGED?,Complex ID,Latitude,Longitude,Neighborhood,PUMA,Borough
BROADWAY JCT-ACJLZ,"BROADWAY JUNCTION (A,C,J,L,Z)",COMBINED,621,40.679498,-73.904512,Brownsville & Ocean Hill ,4007,Brooklyn
BROADWAY-G,BROADWAY (G),NO,286,40.706092,-73.950308,Greenpoint & Williamsburg ,4001,Brooklyn
BROADWAY-NQW,"BROADWAY (N,Q,W)",NO,4,40.76182,-73.925508,Astoria & Long Island City ,4101,Queens
BRONX PARK EAST-25,"BRONX PARK EAST (2,5)",NO,425,40.848828,-73.868457,"Belmont, Crotona Park East & East Tremont ",3705,Bronx
BROOK AV-6,BROOK AV (6),NO,376,40.807566,-73.91924,"Hunts Point, Longwood & Melrose ",3710,Bronx
BROOKLYN BRIDGE-456JZ,"BROOKLYN BRIDGE-CITY HALL/CHAMBERS ST (4,5,6,J,Z)",DUPLICATED,622,40.713065,-74.004131,"Battery Park City, Greenwich Village & Soho ",3810,Manhattan
BUHRE AV-6,BUHRE AV (6),NO,361,40.84681,-73.832569,"Co-op City, Pelham Bay & Schuylerville ",3703,Bronx
BURKE AV-25,"BURKE AV (2,5)",NO,422,40.871356,-73.867164,"Pelham Parkway, Morris Park & Laconia ",3704,Bronx
BURNSIDE AV-4,BURNSIDE AV (4),NO,384,40.853453,-73.907684,"Morris Heights, Fordham South & Mount Hope ",3707,Bronx
BUSHWICK AV-L,BUSHWICK AV-ABERDEEN ST (L),NAME_ONLY,131,40.682829,-73.905249,Bushwick ,4002,Brooklyn
B'WAY-LAFAYETTE-BDFQ6,"BROADWAY-LAFAYETTE ST-BLEECKER ST (6,B,D,F,M)",DUPLICATED,619,40.725915,-73.994659,"Battery Park City, Greenwich Village & Soho ",3810,Manhattan
CANAL ST-1,CANAL ST (1),NO,325,40.722854,-74.006277,"Battery Park City, Greenwich Village & Soho ",3810,Manhattan
CANAL ST-ACE,"CANAL ST (A,C,E)",NO,169,40.720824,-74.005229,"Battery Park City, Greenwich Village & Soho ",3810,Manhattan
CANAL ST-JNQRZ6W,"CANAL ST (J,N,Q,R,Z,6,W)",COMBINED,623,40.718803,-74.000193,"Battery Park City, Greenwich Village & Soho ",3810,Manhattan
CANARSIE-ROCKAW-L,CANARSIE-ROCKAWAY PKWY (L),NAME_ONLY,138,40.646654,-73.90185,Canarsie & Flatlands ,4009,Brooklyn
CARROLL ST-FG,"CARROLL ST (F,G)",NO,237,40.680303,-73.995048,"Park Slope, Carroll Gardens & Red Hook ",4005,Brooklyn
CASTLE HILL AV-6,CASTLE HILL AV (6),NO,365,40.834255,-73.851222,"Castle Hill, Clason Point & Parkchester ",3709,Bronx
CATHEDRAL PKWY-1,CATHEDRAL PKWY (110 ST) (1),NAME_ONLY,308,40.803967,-73.966847,"Hamilton Heights, Manhattanville & West Harlem ",3802,Manhattan
CATHEDRAL PKWY-BC,"CATHEDRAL PKWY (110 ST) (B,C)",NAME_ONLY,155,40.800603,-73.958161,Central Harlem ,3803,Manhattan
CENTRAL AV-M,CENTRAL AV (M),NO,114,40.697857,-73.927397,Bushwick ,4002,Brooklyn
CENTRAL PK N110-23,"CENTRAL PARK NORTH (110 ST) (2,3)",NAME_ONLY,441,40.799075,-73.951822,Central Harlem ,3803,Manhattan
CHAMBERS ST-123,"CHAMBERS ST (1,2,3)",NO,327,40.715478,-74.009266,"Battery Park City, Greenwich Village & Soho ",3810,Manhattan
CHAMBERS ST-ACE23,"CHAMBERS ST-WORLD TRADE CENTER/PARK PLACE/CORTLANDT ST (2,3,A,C,W,R,N,W)",DUPLICATED,624,40.712582,-74.009781,"Battery Park City, Greenwich Village & Soho ",3810,Manhattan
CHAMBERS ST-JZ456,"BROOKLYN BRIDGE-CITY HALL/CHAMBERS ST (4,5,6,J,Z)",DUPLICATED,622,40.713065,-74.004131,Chinatown & Lower East Side ,3809,Manhattan
CHAUNCEY ST-JZ,"CHAUNCEY ST (J,Z)",NO,93,40.682893,-73.910456,Brownsville & Ocean Hill ,4007,Brooklyn
CHURCH AV-25,"CHURCH AV (2,5)",NO,356,40.650843,-73.949575,"Crown Heights South, Prospect Lefferts & Wingate ",4011,Brooklyn
CHURCH AV-BQ,"CHURCH AV (B,Q)",NO,44,40.650527,-73.962982,Flatbush & Midwood ,4015,Brooklyn
CHURCH AV-FG,"CHURCH AV (F,G)",NO,243,40.644041,-73.979678,"Borough Park, Kensington & Ocean Parkway ",4014,Brooklyn
CITY HALL-NRW,"CITY HALL (N,R,W)",NO,20,40.713282,-74.006978,"Battery Park City, Greenwich Village & Soho ",3810,Manhattan
CLARK ST-23,"CLARK ST (2,3)",NO,334,40.697466,-73.993086,Brooklyn Heights & Fort Greene ,4004,Brooklyn
CLASSON AV-G,CLASSON AV (G),NO,290,40.688873,-73.96007,Brooklyn Heights & Fort Greene ,4004,Brooklyn
CLEVELAND ST-J,CLEVELAND ST (J),NO,89,40.679947,-73.884639,East New York & Starrett City ,4008,Brooklyn
